"Query ID", "Doc ID", "Ranking", "Precision", "Recall"
1,CACM-1519,1,0.000,0.000
1,CACM-1161,2,0.000,0.000
1,CACM-1410,3,0.333,0.200
1,CACM-1844,4,0.250,0.200
1,CACM-1605,5,0.400,0.400
1,CACM-1938,6,0.333,0.400
1,CACM-2629,7,0.286,0.400
1,CACM-2357,8,0.250,0.400
1,CACM-1657,9,0.222,0.400
1,CACM-2054,10,0.200,0.400
1,CACM-2219,11,0.182,0.400
1,CACM-1827,12,0.167,0.400
1,CACM-2535,13,0.154,0.400
1,CACM-2920,14,0.143,0.400
1,CACM-1071,15,0.133,0.400
1,CACM-2500,16,0.125,0.400
1,CACM-1805,17,0.118,0.400
1,CACM-1698,18,0.111,0.400
1,CACM-2947,19,0.105,0.400
1,CACM-1315,20,0.100,0.400
1,CACM-0585,21,0.095,0.400
1,CACM-2424,22,0.091,0.400
1,CACM-2319,23,0.087,0.400
1,CACM-2151,24,0.083,0.400
1,CACM-2950,25,0.080,0.400
1,CACM-2371,26,0.077,0.400
1,CACM-2378,27,0.074,0.400
1,CACM-1506,28,0.071,0.400
1,CACM-1591,29,0.069,0.400
1,CACM-1908,30,0.067,0.400
1,CACM-2948,31,0.065,0.400
1,CACM-1408,32,0.062,0.400
1,CACM-2344,33,0.061,0.400
1,CACM-3127,34,0.059,0.400
1,CACM-1033,35,0.057,0.400
1,CACM-0971,36,0.056,0.400
1,CACM-2218,37,0.054,0.400
1,CACM-2522,38,0.053,0.400
1,CACM-2379,39,0.051,0.400
1,CACM-1391,40,0.050,0.400
1,CACM-1752,41,0.049,0.400
1,CACM-3025,42,0.048,0.400
1,CACM-3174,43,0.047,0.400
1,CACM-3048,44,0.045,0.400
1,CACM-1572,45,0.067,0.600
1,CACM-2541,46,0.065,0.600
1,CACM-0698,47,0.064,0.600
1,CACM-1168,48,0.062,0.600
1,CACM-2439,49,0.061,0.600
1,CACM-1680,50,0.060,0.600
1,CACM-2380,51,0.059,0.600
1,CACM-1590,52,0.058,0.600
1,CACM-2951,53,0.057,0.600
1,CACM-1749,54,0.056,0.600
1,CACM-1747,55,0.055,0.600
1,CACM-0637,56,0.054,0.600
1,CACM-1854,57,0.053,0.600
1,CACM-1877,58,0.052,0.600
1,CACM-1685,59,0.051,0.600
1,CACM-1462,60,0.050,0.600
1,CACM-1647,61,0.049,0.600
1,CACM-1892,62,0.048,0.600
1,CACM-1440,63,0.048,0.600
1,CACM-1750,64,0.047,0.600
1,CACM-2317,65,0.046,0.600
1,CACM-2501,66,0.045,0.600
1,CACM-3023,67,0.045,0.600
1,CACM-2003,68,0.044,0.600
1,CACM-2036,69,0.043,0.600
1,CACM-1753,70,0.043,0.600
1,CACM-1487,71,0.042,0.600
1,CACM-1236,72,0.042,0.600
1,CACM-1341,73,0.041,0.600
1,CACM-2542,74,0.041,0.600
1,CACM-1264,75,0.040,0.600
1,CACM-1960,76,0.039,0.600
1,CACM-2946,77,0.039,0.600
1,CACM-2358,78,0.051,0.800
1,CACM-3069,79,0.051,0.800
1,CACM-1677,80,0.050,0.800
1,CACM-2681,81,0.049,0.800
1,CACM-1885,82,0.049,0.800
1,CACM-2092,83,0.048,0.800
1,CACM-2764,84,0.048,0.800
1,CACM-3068,85,0.047,0.800
1,CACM-1544,86,0.047,0.800
1,CACM-2740,87,0.046,0.800
1,CACM-2390,88,0.045,0.800
1,CACM-3112,89,0.045,0.800
1,CACM-2624,90,0.044,0.800
1,CACM-3065,91,0.044,0.800
1,CACM-1523,92,0.043,0.800
1,CACM-2372,93,0.043,0.800
1,CACM-2399,94,0.043,0.800
1,CACM-0414,95,0.042,0.800
1,CACM-2878,96,0.042,0.800
1,CACM-3011,97,0.041,0.800
1,CACM-2989,98,0.041,0.800
1,CACM-2228,99,0.040,0.800
1,CACM-2622,100,0.040,0.800
2,CACM-3078,1,1.000,0.333
2,CACM-2434,2,1.000,0.667
2,CACM-2863,3,1.000,1.000
2,CACM-0497,4,0.750,1.000
2,CACM-2786,5,0.600,1.000
2,CACM-3129,6,0.500,1.000
2,CACM-1264,7,0.429,1.000
2,CACM-0616,8,0.375,1.000
2,CACM-2250,9,0.333,1.000
2,CACM-1977,10,0.300,1.000
2,CACM-2039,11,0.273,1.000
2,CACM-1519,12,0.250,1.000
2,CACM-1931,13,0.231,1.000
2,CACM-2572,14,0.214,1.000
2,CACM-0397,15,0.200,1.000
2,CACM-1652,16,0.188,1.000
2,CACM-2177,17,0.176,1.000
2,CACM-0282,18,0.167,1.000
2,CACM-3202,19,0.158,1.000
2,CACM-3086,20,0.150,1.000
2,CACM-2304,21,0.143,1.000
2,CACM-2534,22,0.136,1.000
2,CACM-0847,23,0.130,1.000
2,CACM-1012,24,0.125,1.000
2,CACM-0335,25,0.120,1.000
2,CACM-3199,26,0.115,1.000
2,CACM-0727,27,0.111,1.000
2,CACM-1364,28,0.107,1.000
2,CACM-3180,29,0.103,1.000
2,CACM-2939,30,0.100,1.000
2,CACM-1588,31,0.097,1.000
2,CACM-1010,32,0.094,1.000
2,CACM-2971,33,0.091,1.000
2,CACM-3171,34,0.088,1.000
2,CACM-2439,35,0.086,1.000
2,CACM-1821,36,0.083,1.000
2,CACM-1569,37,0.081,1.000
2,CACM-1974,38,0.079,1.000
2,CACM-3117,39,0.077,1.000
2,CACM-2100,40,0.075,1.000
2,CACM-2448,41,0.073,1.000
2,CACM-2713,42,0.071,1.000
2,CACM-1272,43,0.070,1.000
2,CACM-1424,44,0.068,1.000
2,CACM-1439,45,0.067,1.000
2,CACM-3189,46,0.065,1.000
2,CACM-1593,47,0.064,1.000
2,CACM-2047,48,0.062,1.000
2,CACM-2980,49,0.061,1.000
2,CACM-2850,50,0.060,1.000
2,CACM-2449,51,0.059,1.000
2,CACM-0047,52,0.058,1.000
2,CACM-1676,53,0.057,1.000
2,CACM-0942,54,0.056,1.000
2,CACM-1671,55,0.055,1.000
2,CACM-2215,56,0.054,1.000
2,CACM-2845,57,0.053,1.000
2,CACM-2916,58,0.052,1.000
2,CACM-1014,59,0.051,1.000
2,CACM-0372,60,0.050,1.000
2,CACM-0391,61,0.049,1.000
2,CACM-0394,62,0.048,1.000
2,CACM-1096,63,0.048,1.000
2,CACM-1702,64,0.047,1.000
2,CACM-1941,65,0.046,1.000
2,CACM-1981,66,0.045,1.000
2,CACM-1990,67,0.045,1.000
2,CACM-2422,68,0.044,1.000
2,CACM-2440,69,0.043,1.000
2,CACM-2472,70,0.043,1.000
2,CACM-2917,71,0.042,1.000
2,CACM-1638,72,0.042,1.000
2,CACM-1427,73,0.041,1.000
2,CACM-2519,74,0.041,1.000
2,CACM-1258,75,0.040,1.000
2,CACM-0854,76,0.039,1.000
2,CACM-1563,77,0.039,1.000
2,CACM-1606,78,0.038,1.000
2,CACM-1881,79,0.038,1.000
2,CACM-1943,80,0.037,1.000
2,CACM-2392,81,0.037,1.000
2,CACM-2395,82,0.037,1.000
2,CACM-2473,83,0.036,1.000
2,CACM-2520,84,0.036,1.000
2,CACM-1651,85,0.035,1.000
2,CACM-1975,86,0.035,1.000
2,CACM-1861,87,0.034,1.000
2,CACM-3136,88,0.034,1.000
2,CACM-0408,89,0.034,1.000
2,CACM-1334,90,0.033,1.000
2,CACM-1542,91,0.033,1.000
2,CACM-2002,92,0.033,1.000
2,CACM-1591,93,0.032,1.000
2,CACM-1705,94,0.032,1.000
2,CACM-1867,95,0.032,1.000
2,CACM-2219,96,0.031,1.000
2,CACM-2905,97,0.031,1.000
2,CACM-1611,98,0.031,1.000
2,CACM-2311,99,0.030,1.000
2,CACM-2984,100,0.030,1.000
3,CACM-1988,1,0.000,0.000
3,CACM-2112,2,0.000,0.000
3,CACM-2061,3,0.000,0.000
3,CACM-2921,4,0.000,0.000
3,CACM-2579,5,0.000,0.000
3,CACM-0252,6,0.000,0.000
3,CACM-1154,7,0.000,0.000
3,CACM-2886,8,0.000,0.000
3,CACM-3102,9,0.000,0.000
3,CACM-1723,10,0.000,0.000
3,CACM-3115,11,0.000,0.000
3,CACM-0637,12,0.000,0.000
3,CACM-2666,13,0.000,0.000
3,CACM-2411,14,0.000,0.000
3,CACM-1350,15,0.000,0.000
3,CACM-3099,16,0.000,0.000
3,CACM-2939,17,0.000,0.000
3,CACM-1533,18,0.000,0.000
3,CACM-1135,19,0.000,0.000
3,CACM-1029,20,0.000,0.000
3,CACM-1387,21,0.000,0.000
3,CACM-3130,22,0.000,0.000
3,CACM-2542,23,0.000,0.000
3,CACM-1457,24,0.000,0.000
3,CACM-1835,25,0.000,0.000
3,CACM-2873,26,0.000,0.000
3,CACM-0265,27,0.000,0.000
3,CACM-1852,28,0.000,0.000
3,CACM-2254,29,0.000,0.000
3,CACM-1807,30,0.033,0.167
3,CACM-3171,31,0.032,0.167
3,CACM-1671,32,0.031,0.167
3,CACM-2990,33,0.030,0.167
3,CACM-3124,34,0.029,0.167
3,CACM-2684,35,0.029,0.167
3,CACM-2138,36,0.028,0.167
3,CACM-2929,37,0.027,0.167
3,CACM-3030,38,0.026,0.167
3,CACM-3093,39,0.026,0.167
3,CACM-1003,40,0.025,0.167
3,CACM-1572,41,0.024,0.167
3,CACM-2424,42,0.024,0.167
3,CACM-1402,43,0.023,0.167
3,CACM-0303,44,0.023,0.167
3,CACM-1162,45,0.022,0.167
3,CACM-1456,46,0.022,0.167
3,CACM-2372,47,0.021,0.167
3,CACM-1788,48,0.021,0.167
3,CACM-2534,49,0.020,0.167
3,CACM-3105,50,0.020,0.167
3,CACM-2470,51,0.020,0.167
3,CACM-2316,52,0.019,0.167
3,CACM-1194,53,0.019,0.167
3,CACM-1947,54,0.037,0.333
3,CACM-2210,55,0.036,0.333
3,CACM-2746,56,0.036,0.333
3,CACM-2820,57,0.035,0.333
3,CACM-2867,58,0.034,0.333
3,CACM-0205,59,0.034,0.333
3,CACM-2732,60,0.033,0.333
3,CACM-1223,61,0.033,0.333
3,CACM-3077,62,0.032,0.333
3,CACM-1309,63,0.032,0.333
3,CACM-1348,64,0.031,0.333
3,CACM-2739,65,0.031,0.333
3,CACM-2652,66,0.030,0.333
3,CACM-1386,67,0.030,0.333
3,CACM-2233,68,0.029,0.333
3,CACM-0799,69,0.029,0.333
3,CACM-1484,70,0.029,0.333
3,CACM-2718,71,0.028,0.333
3,CACM-1976,72,0.028,0.333
3,CACM-1565,73,0.027,0.333
3,CACM-1658,74,0.027,0.333
3,CACM-1783,75,0.027,0.333
3,CACM-1496,76,0.026,0.333
3,CACM-1134,77,0.039,0.500
3,CACM-2341,78,0.038,0.500
3,CACM-1869,79,0.038,0.500
3,CACM-2320,80,0.037,0.500
3,CACM-2558,81,0.037,0.500
3,CACM-2767,82,0.037,0.500
3,CACM-3101,83,0.036,0.500
3,CACM-0051,84,0.036,0.500
3,CACM-0070,85,0.035,0.500
3,CACM-0929,86,0.035,0.500
3,CACM-1313,87,0.034,0.500
3,CACM-2066,88,0.034,0.500
3,CACM-2495,89,0.034,0.500
3,CACM-2551,90,0.033,0.500
3,CACM-2587,91,0.033,0.500
3,CACM-2658,92,0.033,0.500
3,CACM-2659,93,0.032,0.500
3,CACM-2871,94,0.032,0.500
3,CACM-1304,95,0.032,0.500
3,CACM-1703,96,0.031,0.500
3,CACM-2705,97,0.031,0.500
3,CACM-1459,98,0.031,0.500
3,CACM-0464,99,0.030,0.500
3,CACM-2064,100,0.030,0.500
4,CACM-2931,1,0.000,0.000
4,CACM-3043,2,0.500,0.083
4,CACM-3128,3,0.667,0.167
4,CACM-1135,4,0.500,0.167
4,CACM-3049,5,0.400,0.167
4,CACM-2939,6,0.333,0.167
4,CACM-2377,7,0.286,0.167
4,CACM-2851,8,0.250,0.167
4,CACM-2314,9,0.222,0.167
4,CACM-0616,10,0.200,0.167
4,CACM-2342,11,0.182,0.167
4,CACM-2519,12,0.167,0.167
4,CACM-3141,13,0.154,0.167
4,CACM-2438,14,0.143,0.167
4,CACM-2439,15,0.133,0.167
4,CACM-2848,16,0.125,0.167
4,CACM-1506,17,0.118,0.167
4,CACM-2895,18,0.111,0.167
4,CACM-2969,19,0.105,0.167
4,CACM-2905,20,0.100,0.167
4,CACM-1742,21,0.095,0.167
4,CACM-2233,22,0.091,0.167
4,CACM-1727,23,0.087,0.167
4,CACM-2816,24,0.083,0.167
4,CACM-0409,25,0.080,0.167
4,CACM-2020,26,0.077,0.167
4,CACM-1014,27,0.074,0.167
4,CACM-2371,28,0.107,0.250
