"Query ID", "Doc ID", "Ranking", "Precision", "Recall"
1,CACM-2319,1,0.000,0.000
1,CACM-1410,2,0.500,0.200
1,CACM-1938,3,0.333,0.200
1,CACM-2358,4,0.500,0.400
1,CACM-1827,5,0.400,0.400
1,CACM-3023,6,0.333,0.400
1,CACM-1605,7,0.429,0.600
1,CACM-2379,8,0.375,0.600
1,CACM-1572,9,0.444,0.800
1,CACM-1747,10,0.400,0.800
1,CACM-1750,11,0.364,0.800
1,CACM-2626,12,0.333,0.800
1,CACM-2624,13,0.308,0.800
1,CACM-2188,14,0.286,0.800
1,CACM-1518,15,0.267,0.800
1,CACM-0637,16,0.250,0.800
1,CACM-2669,17,0.235,0.800
1,CACM-1728,18,0.222,0.800
1,CACM-1753,19,0.211,0.800
1,CACM-1680,20,0.200,0.800
1,CACM-2151,21,0.190,0.800
1,CACM-1542,22,0.182,0.800
1,CACM-2054,23,0.174,0.800
1,CACM-2522,24,0.167,0.800
1,CACM-3068,25,0.160,0.800
1,CACM-2951,26,0.154,0.800
1,CACM-2017,27,0.148,0.800
1,CACM-2218,28,0.143,0.800
1,CACM-2542,29,0.138,0.800
1,CACM-2535,30,0.133,0.800
1,CACM-1752,31,0.129,0.800
1,CACM-1844,32,0.125,0.800
1,CACM-2798,33,0.121,0.800
1,CACM-2988,34,0.118,0.800
1,CACM-2812,35,0.114,0.800
1,CACM-1657,36,0.111,0.800
1,CACM-2380,37,0.108,0.800
1,CACM-1506,38,0.105,0.800
1,CACM-1161,39,0.103,0.800
1,CACM-1959,40,0.100,0.800
1,CACM-1591,41,0.098,0.800
1,CACM-2344,42,0.095,0.800
1,CACM-2947,43,0.093,0.800
1,CACM-1226,44,0.091,0.800
1,CACM-3048,45,0.089,0.800
1,CACM-1247,46,0.087,0.800
1,CACM-3089,47,0.085,0.800
1,CACM-2371,48,0.083,0.800
1,CACM-1677,49,0.082,0.800
1,CACM-2372,50,0.080,0.800
1,CACM-2424,51,0.078,0.800
1,CACM-3025,52,0.077,0.800
1,CACM-1071,53,0.075,0.800
1,CACM-2375,54,0.074,0.800
1,CACM-3137,55,0.073,0.800
1,CACM-1523,56,0.071,0.800
1,CACM-1698,57,0.070,0.800
1,CACM-0971,58,0.069,0.800
1,CACM-3012,59,0.068,0.800
1,CACM-2632,60,0.067,0.800
1,CACM-2452,61,0.066,0.800
1,CACM-2859,62,0.065,0.800
1,CACM-2105,63,0.063,0.800
1,CACM-2201,64,0.062,0.800
1,CACM-2357,65,0.062,0.800
1,CACM-1173,66,0.061,0.800
1,CACM-2378,67,0.060,0.800
1,CACM-1719,68,0.059,0.800
1,CACM-1626,69,0.058,0.800
1,CACM-2541,70,0.057,0.800
1,CACM-1033,71,0.056,0.800
1,CACM-2262,72,0.056,0.800
1,CACM-3153,73,0.055,0.800
1,CACM-2080,74,0.054,0.800
1,CACM-0696,75,0.053,0.800
1,CACM-2407,76,0.053,0.800
1,CACM-1908,77,0.052,0.800
1,CACM-1892,78,0.051,0.800
1,CACM-2740,79,0.051,0.800
1,CACM-3174,80,0.050,0.800
1,CACM-2314,81,0.049,0.800
1,CACM-1647,82,0.049,0.800
1,CACM-2888,83,0.048,0.800
1,CACM-3147,84,0.048,0.800
1,CACM-0585,85,0.047,0.800
1,CACM-2867,86,0.047,0.800
1,CACM-3072,87,0.046,0.800
1,CACM-2681,88,0.045,0.800
1,CACM-1195,89,0.045,0.800
1,CACM-1264,90,0.044,0.800
1,CACM-2288,91,0.044,0.800
1,CACM-1341,92,0.043,0.800
1,CACM-3070,93,0.043,0.800
1,CACM-2297,94,0.043,0.800
1,CACM-1526,95,0.042,0.800
1,CACM-1032,96,0.042,0.800
1,CACM-1751,97,0.041,0.800
1,CACM-1960,98,0.041,0.800
1,CACM-2318,99,0.040,0.800
1,CACM-1393,100,0.040,0.800
2,CACM-2863,1,1.000,0.333
2,CACM-2434,2,1.000,0.667
2,CACM-3078,3,1.000,1.000
2,CACM-2668,4,0.750,1.000
2,CACM-2144,5,0.600,1.000
2,CACM-2595,6,0.500,1.000
2,CACM-1728,7,0.429,1.000
2,CACM-2812,8,0.375,1.000
2,CACM-2862,9,0.333,1.000
