"Query ID", "Doc ID", "Ranking", "Precision", "Recall"
1,CACM-1938,1,0.000,0.000
1,CACM-1572,2,0.500,0.200
1,CACM-1410,3,0.667,0.400
1,CACM-2151,4,0.500,0.400
1,CACM-2319,5,0.400,0.400
1,CACM-2358,6,0.500,0.600
1,CACM-1680,7,0.429,0.600
1,CACM-2951,8,0.375,0.600
1,CACM-1747,9,0.333,0.600
1,CACM-1827,10,0.300,0.600
1,CACM-1752,11,0.273,0.600
1,CACM-1518,12,0.250,0.600
1,CACM-3025,13,0.231,0.600
1,CACM-2379,14,0.214,0.600
1,CACM-2626,15,0.200,0.600
1,CACM-1960,16,0.188,0.600
1,CACM-1753,17,0.176,0.600
1,CACM-2624,18,0.167,0.600
1,CACM-3048,19,0.158,0.600
1,CACM-2371,20,0.150,0.600
1,CACM-1605,21,0.190,0.800
1,CACM-2740,22,0.182,0.800
1,CACM-2522,23,0.174,0.800
1,CACM-2380,24,0.167,0.800
1,CACM-3072,25,0.160,0.800
1,CACM-3023,26,0.154,0.800
1,CACM-2344,27,0.148,0.800
1,CACM-2629,28,0.143,0.800
1,CACM-2669,29,0.138,0.800
1,CACM-1844,30,0.133,0.800
1,CACM-1591,31,0.129,0.800
1,CACM-2542,32,0.125,0.800
1,CACM-2798,33,0.121,0.800
1,CACM-2535,34,0.118,0.800
1,CACM-1749,35,0.114,0.800
1,CACM-1728,36,0.111,0.800
1,CACM-2218,37,0.108,0.800
1,CACM-1071,38,0.105,0.800
1,CACM-2988,39,0.103,0.800
1,CACM-1526,40,0.100,0.800
1,CACM-0971,41,0.098,0.800
1,CACM-1750,42,0.095,0.800
1,CACM-2375,43,0.093,0.800
1,CACM-3089,44,0.091,0.800
1,CACM-2859,45,0.089,0.800
1,CACM-2188,46,0.087,0.800
1,CACM-2357,47,0.085,0.800
1,CACM-1657,48,0.083,0.800
1,CACM-1698,49,0.082,0.800
1,CACM-1908,50,0.080,0.800
1,CACM-2812,51,0.078,0.800
1,CACM-3137,52,0.077,0.800
1,CACM-3127,53,0.075,0.800
1,CACM-1892,54,0.074,0.800
1,CACM-2424,55,0.073,0.800
1,CACM-1506,56,0.071,0.800
1,CACM-2105,57,0.070,0.800
1,CACM-3174,58,0.069,0.800
1,CACM-2262,59,0.068,0.800
1,CACM-1523,60,0.067,0.800
1,CACM-2378,61,0.066,0.800
1,CACM-2080,62,0.065,0.800
1,CACM-2017,63,0.063,0.800
1,CACM-2317,64,0.062,0.800
1,CACM-1161,65,0.062,0.800
1,CACM-3068,66,0.061,0.800
1,CACM-3070,67,0.060,0.800
1,CACM-1542,68,0.059,0.800
1,CACM-1719,69,0.058,0.800
1,CACM-2372,70,0.057,0.800
1,CACM-2407,71,0.056,0.800
1,CACM-2867,72,0.056,0.800
1,CACM-2632,73,0.055,0.800
1,CACM-1746,74,0.054,0.800
1,CACM-1647,75,0.053,0.800
1,CACM-2345,76,0.053,0.800
1,CACM-1519,77,0.052,0.800
1,CACM-1901,78,0.051,0.800
1,CACM-2681,79,0.051,0.800
1,CACM-2439,80,0.050,0.800
1,CACM-2741,81,0.049,0.800
1,CACM-1805,82,0.049,0.800
1,CACM-1484,83,0.048,0.800
1,CACM-2452,84,0.048,0.800
1,CACM-2947,85,0.047,0.800
1,CACM-1912,86,0.047,0.800
1,CACM-1464,87,0.046,0.800
1,CACM-3012,88,0.045,0.800
1,CACM-2320,89,0.045,0.800
1,CACM-3153,90,0.044,0.800
1,CACM-2541,91,0.044,0.800
1,CACM-3147,92,0.043,0.800
1,CACM-1341,93,0.043,0.800
1,CACM-2054,94,0.043,0.800
1,CACM-1440,95,0.042,0.800
1,CACM-2318,96,0.042,0.800
1,CACM-2128,97,0.041,0.800
1,CACM-1699,98,0.041,0.800
1,CACM-2219,99,0.040,0.800
1,CACM-0585,100,0.040,0.800
2,CACM-2863,1,1.000,0.333
2,CACM-2434,2,1.000,0.667
2,CACM-3078,3,1.000,1.000
2,CACM-2645,4,0.750,1.000
2,CACM-1214,5,0.600,1.000
2,CACM-1705,6,0.500,1.000
2,CACM-1397,7,0.429,1.000
2,CACM-2595,8,0.375,1.000
2,CACM-3203,9,0.333,1.000
2,CACM-1591,10,0.300,1.000
2,CACM-0397,11,0.273,1.000
2,CACM-3201,12,0.250,1.000
2,CACM-1334,13,0.231,1.000
2,CACM-3189,14,0.214,1.000
2,CACM-0728,15,0.200,1.000
2,CACM-2166,16,0.188,1.000
2,CACM-2054,17,0.176,1.000
2,CACM-2668,18,0.167,1.000
2,CACM-1706,19,0.158,1.000
2,CACM-1464,20,0.150,1.000
2,CACM-1926,21,0.143,1.000
2,CACM-1751,22,0.136,1.000
2,CACM-2812,23,0.130,1.000
2,CACM-2167,24,0.125,1.000
2,CACM-0731,25,0.120,1.000
2,CACM-1213,26,0.115,1.000
2,CACM-2323,27,0.111,1.000
2,CACM-1305,28,0.107,1.000
2,CACM-1359,29,0.103,1.000
2,CACM-2582,30,0.100,1.000
2,CACM-2862,31,0.097,1.000
2,CACM-0265,32,0.094,1.000
2,CACM-2719,33,0.091,1.000
2,CACM-2080,34,0.088,1.000
2,CACM-1865,35,0.086,1.000
2,CACM-3067,36,0.083,1.000
2,CACM-1394,37,0.081,1.000
2,CACM-2165,38,0.079,1.000
2,CACM-0964,39,0.077,1.000
2,CACM-1614,40,0.075,1.000
2,CACM-1315,41,0.073,1.000
2,CACM-0393,42,0.071,1.000
2,CACM-1867,43,0.070,1.000
2,CACM-1652,44,0.068,1.000
2,CACM-1747,45,0.067,1.000
2,CACM-1264,46,0.065,1.000
2,CACM-1453,47,0.064,1.000
2,CACM-2522,48,0.062,1.000
2,CACM-3157,49,0.061,1.000
2,CACM-2170,50,0.060,1.000
2,CACM-2317,51,0.059,1.000
2,CACM-0284,52,0.058,1.000
2,CACM-1523,53,0.057,1.000
2,CACM-1421,54,0.056,1.000
2,CACM-2436,55,0.055,1.000
2,CACM-2706,56,0.054,1.000
2,CACM-0322,57,0.053,1.000
2,CACM-1195,58,0.052,1.000
2,CACM-1365,59,0.051,1.000
2,CACM-2378,60,0.050,1.000
2,CACM-0595,61,0.049,1.000
2,CACM-3202,62,0.048,1.000
2,CACM-0396,63,0.048,1.000
2,CACM-1416,64,0.047,1.000
2,CACM-1062,65,0.046,1.000
2,CACM-1543,66,0.045,1.000
2,CACM-2480,67,0.045,1.000
2,CACM-0435,68,0.044,1.000
2,CACM-1014,69,0.043,1.000
2,CACM-1603,70,0.043,1.000
2,CACM-2920,71,0.042,1.000
2,CACM-1649,72,0.042,1.000
2,CACM-3127,73,0.041,1.000
2,CACM-1664,74,0.041,1.000
2,CACM-1728,75,0.040,1.000
2,CACM-1396,76,0.039,1.000
2,CACM-1309,77,0.039,1.000
2,CACM-1427,78,0.038,1.000
2,CACM-1901,79,0.038,1.000
2,CACM-0850,80,0.037,1.000
2,CACM-1183,81,0.037,1.000
2,CACM-2750,82,0.037,1.000
2,CACM-2740,83,0.036,1.000
2,CACM-1395,84,0.036,1.000
2,CACM-2904,85,0.035,1.000
2,CACM-3050,86,0.035,1.000
2,CACM-1680,87,0.034,1.000
2,CACM-0278,88,0.034,1.000
2,CACM-1503,89,0.034,1.000
2,CACM-1623,90,0.033,1.000
2,CACM-1403,91,0.033,1.000
2,CACM-1432,92,0.033,1.000
2,CACM-1975,93,0.032,1.000
2,CACM-3199,94,0.032,1.000
2,CACM-1605,95,0.032,1.000
2,CACM-2989,96,0.031,1.000
2,CACM-1939,97,0.031,1.000
2,CACM-1824,98,0.031,1.000
2,CACM-2439,99,0.030,1.000
2,CACM-2450,100,0.030,1.000
3,CACM-1683,1,0.000,0.000
3,CACM-2897,2,0.000,0.000
3,CACM-2179,3,0.000,0.000
3,CACM-2423,4,0.000,0.000
3,CACM-0123,5,0.000,0.000
3,CACM-0637,6,0.000,0.000
3,CACM-3080,7,0.000,0.000
3,CACM-2534,8,0.000,0.000
3,CACM-2904,9,0.000,0.000
3,CACM-2820,10,0.000,0.000
3,CACM-2719,11,0.000,0.000
3,CACM-1947,12,0.083,0.167
3,CACM-3093,13,0.077,0.167
3,CACM-3115,14,0.071,0.167
3,CACM-1807,15,0.133,0.333
3,CACM-3045,16,0.125,0.333
3,CACM-2945,17,0.118,0.333
3,CACM-2411,18,0.111,0.333
3,CACM-2061,19,0.105,0.333
3,CACM-2886,20,0.100,0.333
3,CACM-2110,21,0.095,0.333
3,CACM-2082,22,0.091,0.333
3,CACM-2921,23,0.087,0.333
3,CACM-2556,24,0.083,0.333
3,CACM-2871,25,0.080,0.333
3,CACM-2929,26,0.077,0.333
3,CACM-2667,27,0.074,0.333
