"Query ID", "Doc ID", "Ranking", "Precision", "Recall"
1,CACM-2380,1,0.000,0.000
1,CACM-1523,2,0.000,0.000
1,CACM-1410,3,0.333,0.200
1,CACM-1519,4,0.250,0.200
1,CACM-1605,5,0.400,0.400
1,CACM-2371,6,0.333,0.400
1,CACM-2319,7,0.286,0.400
1,CACM-2379,8,0.250,0.400
1,CACM-1506,9,0.222,0.400
1,CACM-1544,10,0.200,0.400
1,CACM-3025,11,0.182,0.400
1,CACM-1749,12,0.167,0.400
1,CACM-1938,13,0.154,0.400
1,CACM-0971,14,0.143,0.400
1,CACM-2358,15,0.200,0.600
1,CACM-1680,16,0.188,0.600
1,CACM-1161,17,0.176,0.600
1,CACM-2632,18,0.167,0.600
1,CACM-1591,19,0.158,0.600
1,CACM-1753,20,0.150,0.600
1,CACM-2740,21,0.143,0.600
1,CACM-0585,22,0.136,0.600
1,CACM-2951,23,0.130,0.600
1,CACM-1440,24,0.125,0.600
1,CACM-1179,25,0.120,0.600
1,CACM-3127,26,0.115,0.600
1,CACM-2357,27,0.111,0.600
1,CACM-1960,28,0.107,0.600
1,CACM-2629,29,0.103,0.600
1,CACM-1033,30,0.100,0.600
1,CACM-3048,31,0.097,0.600
1,CACM-0414,32,0.094,0.600
1,CACM-1168,33,0.091,0.600
1,CACM-1647,34,0.088,0.600
1,CACM-1304,35,0.086,0.600
1,CACM-1264,36,0.083,0.600
1,CACM-2947,37,0.081,0.600
1,CACM-1464,38,0.079,0.600
1,CACM-1315,39,0.077,0.600
1,CACM-1195,40,0.075,0.600
1,CACM-1163,41,0.073,0.600
1,CACM-2621,42,0.071,0.600
1,CACM-3023,43,0.070,0.600
1,CACM-1542,44,0.068,0.600
1,CACM-0098,45,0.067,0.600
1,CACM-1526,46,0.065,0.600
1,CACM-1225,47,0.064,0.600
1,CACM-2317,48,0.062,0.600
1,CACM-1657,49,0.061,0.600
1,CACM-1341,50,0.060,0.600
1,CACM-2624,51,0.059,0.600
1,CACM-1805,52,0.058,0.600
1,CACM-2054,53,0.057,0.600
1,CACM-2424,54,0.056,0.600
1,CACM-1236,55,0.055,0.600
1,CACM-1173,56,0.054,0.600
1,CACM-0637,57,0.053,0.600
1,CACM-1844,58,0.052,0.600
1,CACM-1685,59,0.051,0.600
1,CACM-1827,60,0.050,0.600
1,CACM-2372,61,0.049,0.600
1,CACM-2188,62,0.048,0.600
1,CACM-3089,63,0.048,0.600
1,CACM-2626,64,0.047,0.600
1,CACM-1885,65,0.046,0.600
1,CACM-1034,66,0.045,0.600
1,CACM-0271,67,0.045,0.600
1,CACM-2597,68,0.044,0.600
1,CACM-2868,69,0.043,0.600
1,CACM-1046,70,0.043,0.600
1,CACM-1393,71,0.042,0.600
1,CACM-2535,72,0.042,0.600
1,CACM-1750,73,0.041,0.600
1,CACM-1518,74,0.041,0.600
1,CACM-2219,75,0.040,0.600
1,CACM-2920,76,0.039,0.600
1,CACM-2946,77,0.039,0.600
1,CACM-2681,78,0.038,0.600
1,CACM-1642,79,0.038,0.600
1,CACM-2796,80,0.037,0.600
1,CACM-1712,81,0.037,0.600
1,CACM-2542,82,0.037,0.600
1,CACM-1417,83,0.036,0.600
1,CACM-3137,84,0.036,0.600
1,CACM-1755,85,0.035,0.600
1,CACM-1697,86,0.035,0.600
1,CACM-1472,87,0.034,0.600
1,CACM-1752,88,0.034,0.600
1,CACM-2541,89,0.034,0.600
1,CACM-2950,90,0.033,0.600
1,CACM-1572,91,0.044,0.800
1,CACM-2370,92,0.043,0.800
1,CACM-1534,93,0.043,0.800
1,CACM-2948,94,0.043,0.800
1,CACM-3068,95,0.042,0.800
1,CACM-2080,96,0.042,0.800
1,CACM-0617,97,0.041,0.800
1,CACM-2892,98,0.041,0.800
1,CACM-3112,99,0.040,0.800
1,CACM-1462,100,0.040,0.800
2,CACM-2434,1,1.000,0.333
2,CACM-2863,2,1.000,0.667
2,CACM-3078,3,1.000,1.000
2,CACM-1046,4,0.750,1.000
