"Query ID", "Doc ID", "Ranking", "Precision", "Recall"
1,CACM-1410,1,1.000,0.200
1,CACM-1523,2,0.500,0.200
1,CACM-1519,3,0.333,0.200
1,CACM-1605,4,0.500,0.400
1,CACM-1506,5,0.400,0.400
1,CACM-1544,6,0.333,0.400
1,CACM-2379,7,0.286,0.400
1,CACM-2288,8,0.250,0.400
1,CACM-2380,9,0.222,0.400
1,CACM-2319,10,0.200,0.400
1,CACM-1033,11,0.182,0.400
1,CACM-1161,12,0.167,0.400
1,CACM-1226,13,0.154,0.400
1,CACM-1938,14,0.143,0.400
1,CACM-3025,15,0.133,0.400
1,CACM-1626,16,0.125,0.400
1,CACM-2632,17,0.118,0.400
1,CACM-2371,18,0.111,0.400
1,CACM-3127,19,0.105,0.400
1,CACM-1571,20,0.100,0.400
1,CACM-2541,21,0.095,0.400
1,CACM-1591,22,0.091,0.400
1,CACM-3137,23,0.087,0.400
1,CACM-1393,24,0.083,0.400
1,CACM-1464,25,0.080,0.400
1,CACM-0585,26,0.077,0.400
1,CACM-1854,27,0.074,0.400
1,CACM-1749,28,0.071,0.400
1,CACM-2947,29,0.069,0.400
1,CACM-2500,30,0.067,0.400
1,CACM-2747,31,0.065,0.400
1,CACM-1264,32,0.062,0.400
1,CACM-2188,33,0.061,0.400
1,CACM-1844,34,0.059,0.400
1,CACM-1885,35,0.057,0.400
1,CACM-2054,36,0.056,0.400
1,CACM-2950,37,0.054,0.400
1,CACM-1225,38,0.053,0.400
1,CACM-2768,39,0.051,0.400
1,CACM-1827,40,0.050,0.400
1,CACM-2764,41,0.049,0.400
1,CACM-2624,42,0.048,0.400
1,CACM-2358,43,0.070,0.600
1,CACM-2597,44,0.068,0.600
1,CACM-0637,45,0.067,0.600
1,CACM-1173,46,0.065,0.600
1,CACM-2946,47,0.064,0.600
1,CACM-1542,48,0.062,0.600
1,CACM-1647,49,0.061,0.600
1,CACM-2080,50,0.060,0.600
1,CACM-2911,51,0.059,0.600
1,CACM-3153,52,0.058,0.600
1,CACM-2003,53,0.057,0.600
1,CACM-1502,54,0.056,0.600
1,CACM-2357,55,0.055,0.600
1,CACM-1657,56,0.054,0.600
1,CACM-2317,57,0.053,0.600
1,CACM-1960,58,0.052,0.600
1,CACM-2622,59,0.051,0.600
1,CACM-1959,60,0.050,0.600
1,CACM-1680,61,0.049,0.600
1,CACM-0971,62,0.048,0.600
1,CACM-1685,63,0.048,0.600
1,CACM-2535,64,0.047,0.600
1,CACM-2560,65,0.046,0.600
1,CACM-2452,66,0.045,0.600
1,CACM-1304,67,0.045,0.600
1,CACM-1753,68,0.044,0.600
1,CACM-1902,69,0.043,0.600
1,CACM-1440,70,0.043,0.600
1,CACM-2274,71,0.042,0.600
1,CACM-3023,72,0.042,0.600
1,CACM-1712,73,0.041,0.600
1,CACM-1179,74,0.041,0.600
1,CACM-2095,75,0.040,0.600
1,CACM-1805,76,0.039,0.600
1,CACM-2327,77,0.039,0.600
1,CACM-1032,78,0.038,0.600
1,CACM-2920,79,0.038,0.600
1,CACM-2740,80,0.037,0.600
1,CACM-0414,81,0.037,0.600
1,CACM-1505,82,0.037,0.600
1,CACM-3087,83,0.036,0.600
1,CACM-2378,84,0.036,0.600
1,CACM-1937,85,0.035,0.600
1,CACM-2424,86,0.035,0.600
1,CACM-2218,87,0.034,0.600
1,CACM-1750,88,0.034,0.600
1,CACM-2126,89,0.034,0.600
1,CACM-1163,90,0.033,0.600
1,CACM-2153,91,0.033,0.600
1,CACM-1735,92,0.033,0.600
1,CACM-0202,93,0.032,0.600
1,CACM-1518,94,0.032,0.600
1,CACM-1341,95,0.032,0.600
1,CACM-2868,96,0.031,0.600
1,CACM-2176,97,0.031,0.600
1,CACM-0972,98,0.031,0.600
1,CACM-2621,99,0.030,0.600
1,CACM-2596,100,0.030,0.600
2,CACM-2434,1,1.000,0.333
2,CACM-2863,2,1.000,0.667
2,CACM-3078,3,1.000,1.000
2,CACM-0727,4,0.750,1.000
2,CACM-0497,5,0.600,1.000
2,CACM-2376,6,0.500,1.000
2,CACM-1364,7,0.429,1.000
2,CACM-2342,8,0.375,1.000
2,CACM-0335,9,0.333,1.000
2,CACM-2981,10,0.300,1.000
2,CACM-1475,11,0.273,1.000
2,CACM-0942,12,0.250,1.000
2,CACM-2340,13,0.231,1.000
2,CACM-1502,14,0.214,1.000
2,CACM-3129,15,0.200,1.000
2,CACM-3136,16,0.188,1.000
2,CACM-1062,17,0.176,1.000
2,CACM-1827,18,0.167,1.000
2,CACM-2866,19,0.158,1.000
2,CACM-2850,20,0.150,1.000
2,CACM-2356,21,0.143,1.000
2,CACM-1012,22,0.136,1.000
2,CACM-2250,23,0.130,1.000
2,CACM-2945,24,0.125,1.000
2,CACM-1014,25,0.120,1.000
2,CACM-0047,26,0.115,1.000
2,CACM-0616,27,0.111,1.000
2,CACM-2865,28,0.107,1.000
2,CACM-1977,29,0.103,1.000
2,CACM-2714,30,0.100,1.000
2,CACM-3202,31,0.097,1.000
2,CACM-0185,32,0.094,1.000
2,CACM-1046,33,0.091,1.000
2,CACM-0825,34,0.088,1.000
2,CACM-1861,35,0.086,1.000
2,CACM-1010,36,0.083,1.000
2,CACM-2996,37,0.081,1.000
2,CACM-1254,38,0.079,1.000
2,CACM-3086,39,0.077,1.000
2,CACM-2919,40,0.075,1.000
2,CACM-1442,41,0.073,1.000
